Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,fair,0.7459743804762068,32,a,4,1,0,1
network,fair,0.7459743804762068,32,a,5,0,0,0
network,fair,0.7459743804762068,32,a,6,0,0,0
network,fair,0.7459743804762068,32,a,7,0,0,0
network,fair,0.7459743804762068,32,a,8,0,0,0
network,fair,0.7459743804762068,32,a,9,0,0,0
network,fair,0.7459743804762068,33,a,0,69,0,69
network,fair,0.7459743804762068,33,a,1,44,1,43
network,fair,0.7459743804762068,33,a,2,19,0,19
network,fair,0.7459743804762068,33,a,3,5,1,4
network,fair,0.7459743804762068,33,a,4,3,0,3
network,fair,0.7459743804762068,33,a,5,0,0,0
network,fair,0.7459743804762068,33,a,6,0,0,0
network,fair,0.7459743804762068,33,a,7,0,0,0
network,fair,0.7459743804762068,33,a,8,0,0,0
network,fair,0.7459743804762068,33,a,9,0,0,0
network,fair,0.7459743804762068,34,a,0,69,0,69
network,fair,0.7459743804762068,34,a,1,47,2,45
network,fair,0.7459743804762068,34,a,2,21,3,18
network,fair,0.7459743804762068,34,a,3,10,5,5
network,fair,0.7459743804762068,34,a,4,2,2,0
network,fair,0.7459743804762068,34,a,5,0,0,0
network,fair,0.7459743804762068,34,a,6,0,0,0
network,fair,0.7459743804762068,34,a,7,0,0,0
network,fair,0.7459743804762068,34,a,8,0,0,0
network,fair,0.7459743804762068,34,a,9,0,0,0
network,fair,0.7459743804762068,35,a,0,69,0,69
network,fair,0.7459743804762068,35,a,1,55,4,51
network,fair,0.7459743804762068,35,a,2,20,2,18
network,fair,0.7459743804762068,35,a,3,5,1,4
network,fair,0.7459743804762068,35,a,4,1,0,1
network,fair,0.7459743804762068,35,a,5,0,0,0
network,fair,0.7459743804762068,35,a,6,0,0,0
network,fair,0.7459743804762068,35,a,7,0,0,0
network,fair,0.7459743804762068,35,a,8,0,0,0
network,fair,0.7459743804762068,35,a,9,0,0,0
network,fair,0.7459743804762068,36,a,0,69,0,69
network,fair,0.7459743804762068,36,a,1,33,1,32
network,fair,0.7459743804762068,36,a,2,16,1,15
network,fair,0.7459743804762068,36,a,3,7,0,7
network,fair,0.7459743804762068,36,a,4,3,1,2
network,fair,0.7459743804762068,36,a,5,3,0,3
network,fair,0.7459743804762068,36,a,6,1,0,1
