Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,opt,0.0,2,b,4,0,0,0
network,opt,0.0,2,b,5,0,0,0
network,opt,0.0,2,b,6,0,0,0
network,opt,0.0,2,b,7,0,0,0
network,opt,0.0,2,b,8,0,0,0
network,opt,0.0,2,b,9,0,0,0
network,opt,0.0,3,b,0,69,69,0
network,opt,0.0,3,b,1,85,80,5
network,opt,0.0,3,b,2,35,35,0
network,opt,0.0,3,b,3,5,5,0
network,opt,0.0,3,b,4,0,0,0
network,opt,0.0,3,b,5,0,0,0
network,opt,0.0,3,b,6,0,0,0
network,opt,0.0,3,b,7,0,0,0
network,opt,0.0,3,b,8,0,0,0
network,opt,0.0,3,b,9,0,0,0
network,opt,0.0,4,b,0,69,69,0
network,opt,0.0,4,b,1,86,84,2
network,opt,0.0,4,b,2,28,25,3
network,opt,0.0,4,b,3,4,4,0
network,opt,0.0,4,b,4,0,0,0
network,opt,0.0,4,b,5,0,0,0
network,opt,0.0,4,b,6,0,0,0
network,opt,0.0,4,b,7,0,0,0
network,opt,0.0,4,b,8,0,0,0
network,opt,0.0,4,b,9,0,0,0
network,opt,0.0,5,b,0,69,69,0
network,opt,0.0,5,b,1,91,87,4
network,opt,0.0,5,b,2,28,27,1
network,opt,0.0,5,b,3,1,1,0
network,opt,0.0,5,b,4,0,0,0
network,opt,0.0,5,b,5,0,0,0
network,opt,0.0,5,b,6,0,0,0
network,opt,0.0,5,b,7,0,0,0
network,opt,0.0,5,b,8,0,0,0
network,opt,0.0,5,b,9,0,0,0
network,opt,0.0,6,b,0,69,69,0
network,opt,0.0,6,b,1,78,76,2
network,opt,0.0,6,b,2,31,28,3
network,opt,0.0,6,b,3,5,4,1
network,opt,0.0,6,b,4,0,0,0
network,opt,0.0,6,b,5,0,0,0
network,opt,0.0,6,b,6,0,0,0
network,opt,0.0,6,b,7,0,0,0
network,opt,0.0,6,b,8,0,0,0
network,opt,0.0,6,b,9,0,0,0
network,opt,0.0,7,b,0,69,69,0
network,opt,0.0,7,b,1,81,77,4
network,opt,0.0,7,b,2,31,28,3
network,opt,0.0,7,b,3,4,4,0
network,opt,0.0,7,b,4,3,3,0
network,opt,0.0,7,b,5,0,0,0
network,opt,0.0,7,b,6,0,0,0
network,opt,0.0,7,b,7,0,0,0
network,opt,0.0,7,b,8,0,0,0
network,opt,0.0,7,b,9,0,0,0
network,opt,0.0,8,b,0,69,69,0
network,opt,0.0,8,b,1,94,89,5
network,opt,0.0,8,b,2,20,19,1
network,opt,0.0,8,b,3,2,2,0
network,opt,0.0,8,b,4,0,0,0
network,opt,0.0,8,b,5,0,0,0
network,opt,0.0,8,b,6,0,0,0
network,opt,0.0,8,b,7,0,0,0
network,opt,0.0,8,b,8,0,0,0
network,opt,0.0,8,b,9,0,0,0
network,opt,0.0,9,b,0,69,69,0
network,opt,0.0,9,b,1,72,68,4
network,opt,0.0,9,b,2,41,41,0
network,opt,0.0,9,b,3,4,3,1
network,opt,0.0,9,b,4,0,0,0
network,opt,0.0,9,b,5,0,0,0
network,opt,0.0,9,b,6,0,0,0
network,opt,0.0,9,b,7,0,0,0
network,opt,0.0,9,b,8,0,0,0
network,opt,0.0,9,b,9,0,0,0
network,opt,0.0,10,b,0,69,69,0
network,opt,0.0,10,b,1,82,79,3
network,opt,0.0,10,b,2,30,28,2
network,opt,0.0,10,b,3,5,5,0
network,opt,0.0,10,b,4,1,1,0
network,opt,0.0,10,b,5,0,0,0
network,opt,0.0,10,b,6,0,0,0
network,opt,0.0,10,b,7,0,0,0
network,opt,0.0,10,b,8,0,0,0
network,opt,0.0,10,b,9,0,0,0
network,opt,0.0,11,b,0,69,69,0
network,opt,0.0,11,b,1,83,80,3
network,opt,0.0,11,b,2,25,23,2
network,opt,0.0,11,b,3,3,2,1
network,opt,0.0,11,b,4,1,1,0
network,opt,0.0,11,b,5,0,0,0
network,opt,0.0,11,b,6,0,0,0
network,opt,0.0,11,b,7,0,0,0
network,opt,0.0,11,b,8,0,0,0
network,opt,0.0,11,b,9,0,0,0
network,opt,0.0,12,b,0,69,69,0
network,opt,0.0,12,b,1,87,84,3
network,opt,0.0,12,b,2,33,31,2
network,opt,0.0,12,b,3,3,2,1
network,opt,0.0,12,b,4,0,0,0
network,opt,0.0,12,b,5,0,0,0
network,opt,0.0,12,b,6,0,0,0
network,opt,0.0,12,b,7,0,0,0
network,opt,0.0,12,b,8,0,0,0
network,opt,0.0,12,b,9,0,0,0
network,opt,0.0,13,b,0,69,69,0
network,opt,0.0,13,b,1,76,73,3
network,opt,0.0,13,b,2,35,34,1
network,opt,0.0,13,b,3,3,2,1
network,opt,0.0,13,b,4,2,2,0
network,opt,0.0,13,b,5,0,0,0
network,opt,0.0,13,b,6,0,0,0
network,opt,0.0,13,b,7,0,0,0
network,opt,0.0,13,b,8,0,0,0
network,opt,0.0,13,b,9,0,0,0
network,opt,0.0,14,b,0,69,69,0
network,opt,0.0,14,b,1,84,79,5
network,opt,0.0,14,b,2,27,26,1
network,opt,0.0,14,b,3,2,2,0
network,opt,0.0,14,b,4,0,0,0
network,opt,0.0,14,b,5,0,0,0
network,opt,0.0,14,b,6,0,0,0
network,opt,0.0,14,b,7,0,0,0
network,opt,0.0,14,b,8,0,0,0
network,opt,0.0,14,b,9,0,0,0
network,opt,0.0,15,b,0,69,69,0
network,opt,0.0,15,b,1,78,74,4
network,opt,0.0,15,b,2,26,25,1
network,opt,0.0,15,b,3,5,3,2
network,opt,0.0,15,b,4,0,0,0
network,opt,0.0,15,b,5,0,0,0
network,opt,0.0,15,b,6,0,0,0
network,opt,0.0,15,b,7,0,0,0
network,opt,0.0,15,b,8,0,0,0
network,opt,0.0,15,b,9,0,0,0
network,opt,0.0,16,b,0,69,69,0
network,opt,0.0,16,b,1,88,85,3
network,opt,0.0,16,b,2,21,19,2
network,opt,0.0,16,b,3,2,2,0
network,opt,0.0,16,b,4,0,0,0
network,opt,0.0,16,b,5,0,0,0
network,opt,0.0,16,b,6,0,0,0
network,opt,0.0,16,b,7,0,0,0
network,opt,0.0,16,b,8,0,0,0
network,opt,0.0,16,b,9,0,0,0
network,opt,0.0,17,b,0,69,69,0
network,opt,0.0,17,b,1,74,72,2
network,opt,0.0,17,b,2,24,22,2
network,opt,0.0,17,b,3,4,3,1
network,opt,0.0,17,b,4,0,0,0
network,opt,0.0,17,b,5,0,0,0
network,opt,0.0,17,b,6,0,0,0
network,opt,0.0,17,b,7,0,0,0
network,opt,0.0,17,b,8,0,0,0
network,opt,0.0,17,b,9,0,0,0
network,opt,0.0,18,b,0,69,69,0
network,opt,0.0,18,b,1,85,83,2
network,opt,0.0,18,b,2,27,25,2
network,opt,0.0,18,b,3,2,2,0
network,opt,0.0,18,b,4,0,0,0
network,opt,0.0,18,b,5,0,0,0
network,opt,0.0,18,b,6,0,0,0
network,opt,0.0,18,b,7,0,0,0
network,opt,0.0,18,b,8,0,0,0
network,opt,0.0,18,b,9,0,0,0
network,opt,0.0,19,b,0,69,69,0
network,opt,0.0,19,b,1,87,86,1
network,opt,0.0,19,b,2,27,25,2
network,opt,0.0,19,b,3,2,1,1
network,opt,0.0,19,b,4,0,0,0
network,opt,0.0,19,b,5,0,0,0
network,opt,0.0,19,b,6,0,0,0
network,opt,0.0,19,b,7,0,0,0
network,opt,0.0,19,b,8,0,0,0
network,opt,0.0,19,b,9,0,0,0
network,opt,0.0,20,b,0,69,69,0
network,opt,0.0,20,b,1,74,72,2
network,opt,0.0,20,b,2,27,26,1
network,opt,0.0,20,b,3,6,6,0
network,opt,0.0,20,b,4,1,1,0
network,opt,0.0,20,b,5,0,0,0
network,opt,0.0,20,b,6,0,0,0
network,opt,0.0,20,b,7,0,0,0
network,opt,0.0,20,b,8,0,0,0
network,opt,0.0,20,b,9,0,0,0
network,opt,0.0,21,b,0,69,69,0
network,opt,0.0,21,b,1,81,77,4
network,opt,0.0,21,b,2,31,30,1
network,opt,0.0,21,b,3,3,2,1
network,opt,0.0,21,b,4,0,0,0
network,opt,0.0,21,b,5,0,0,0
network,opt,0.0,21,b,6,0,0,0
network,opt,0.0,21,b,7,0,0,0
network,opt,0.0,21,b,8,0,0,0
network,opt,0.0,21,b,9,0,0,0
network,opt,0.0,22,b,0,69,69,0
network,opt,0.0,22,b,1,88,85,3
network,opt,0.0,22,b,2,24,21,3
network,opt,0.0,22,b,3,1,1,0
network,opt,0.0,22,b,4,0,0,0
network,opt,0.0,22,b,5,0,0,0
network,opt,0.0,22,b,6,0,0,0
network,opt,0.0,22,b,7,0,0,0
network,opt,0.0,22,b,8,0,0,0
network,opt,0.0,22,b,9,0,0,0
network,opt,0.0,23,b,0,69,69,0
network,opt,0.0,23,b,1,95,92,3
network,opt,0.0,23,b,2,22,21,1
network,opt,0.0,23,b,3,4,3,1
network,opt,0.0,23,b,4,0,0,0
network,opt,0.0,23,b,5,0,0,0
network,opt,0.0,23,b,6,0,0,0
network,opt,0.0,23,b,7,0,0,0
network,opt,0.0,23,b,8,0,0,0
network,opt,0.0,23,b,9,0,0,0
network,opt,0.0,24,b,0,69,69,0
network,opt,0.0,24,b,1,84,83,1
network,opt,0.0,24,b,2,24,22,2
network,opt,0.0,24,b,3,4,4,0
network,opt,0.0,24,b,4,1,1,0
network,opt,0.0,24,b,5,0,0,0
network,opt,0.0,24,b,6,0,0,0
network,opt,0.0,24,b,7,0,0,0
network,opt,0.0,24,b,8,0,0,0
network,opt,0.0,24,b,9,0,0,0
network,opt,0.0,25,b,0,69,69,0
network,opt,0.0,25,b,1,92,90,2
network,opt,0.0,25,b,2,24,22,2
network,opt,0.0,25,b,3,2,2,0
network,opt,0.0,25,b,4,0,0,0
network,opt,0.0,25,b,5,0,0,0
network,opt,0.0,25,b,6,0,0,0
network,opt,0.0,25,b,7,0,0,0
network,opt,0.0,25,b,8,0,0,0
network,opt,0.0,25,b,9,0,0,0
network,opt,0.0,26,b,0,69,69,0
network,opt,0.0,26,b,1,87,84,3
network,opt,0.0,26,b,2,27,24,3
network,opt,0.0,26,b,3,2,2,0
network,opt,0.0,26,b,4,0,0,0
network,opt,0.0,26,b,5,0,0,0
network,opt,0.0,26,b,6,0,0,0
network,opt,0.0,26,b,7,0,0,0
network,opt,0.0,26,b,8,0,0,0
network,opt,0.0,26,b,9,0,0,0
network,opt,0.0,27,b,0,69,69,0
network,opt,0.0,27,b,1,83,81,2
network,opt,0.0,27,b,2,28,26,2
network,opt,0.0,27,b,3,7,6,1
network,opt,0.0,27,b,4,1,1,0
network,opt,0.0,27,b,5,0,0,0
network,opt,0.0,27,b,6,0,0,0
network,opt,0.0,27,b,7,0,0,0
network,opt,0.0,27,b,8,0,0,0
network,opt,0.0,27,b,9,0,0,0
network,opt,0.0,28,b,0,69,69,0
network,opt,0.0,28,b,1,89,87,2
network,opt,0.0,28,b,2,27,26,1
network,opt,0.0,28,b,3,1,1,0
network,opt,0.0,28,b,4,1,1,0
network,opt,0.0,28,b,5,0,0,0
network,opt,0.0,28,b,6,0,0,0
network,opt,0.0,28,b,7,0,0,0
network,opt,0.0,28,b,8,0,0,0
network,opt,0.0,28,b,9,0,0,0
network,opt,0.0,29,b,0,69,69,0
network,opt,0.0,29,b,1,83,82,1
network,opt,0.0,29,b,2,30,26,4
network,opt,0.0,29,b,3,1,1,0
network,opt,0.0,29,b,4,0,0,0
network,opt,0.0,29,b,5,0,0,0
network,opt,0.0,29,b,6,0,0,0
network,opt,0.0,29,b,7,0,0,0
network,opt,0.0,29,b,8,0,0,0
network,opt,0.0,29,b,9,0,0,0
network,opt,0.0,30,b,0,69,69,0
network,opt,0.0,30,b,1,84,80,4
network,opt,0.0,30,b,2,28,26,2
network,opt,0.0,30,b,3,6,6,0
network,opt,0.0,30,b,4,1,1,0
network,opt,0.0,30,b,5,0,0,0
network,opt,0.0,30,b,6,0,0,0
network,opt,0.0,30,b,7,0,0,0
network,opt,0.0,30,b,8,0,0,0
network,opt,0.0,30,b,9,0,0,0
network,opt,0.0,31,b,0,69,69,0
network,opt,0.0,31,b,1,93,90,3
network,opt,0.0,31,b,2,24,21,3
network,opt,0.0,31,b,3,6,5,1
network,opt,0.0,31,b,4,1,1,0
network,opt,0.0,31,b,5,0,0,0
network,opt,0.0,31,b,6,0,0,0
network,opt,0.0,31,b,7,0,0,0
network,opt,0.0,31,b,8,0,0,0
network,opt,0.0,31,b,9,0,0,0
network,opt,0.0,32,b,0,69,69,0
network,opt,0.0,32,b,1,83,78,5
network,opt,0.0,32,b,2,25,24,1
network,opt,0.0,32,b,3,1,1,0
network,opt,0.0,32,b,4,0,0,0
network,opt,0.0,32,b,5,0,0,0
network,opt,0.0,32,b,6,0,0,0
network,opt,0.0,32,b,7,0,0,0
network,opt,0.0,32,b,8,0,0,0
network,opt,0.0,32,b,9,0,0,0
network,opt,0.0,33,b,0,69,69,0
network,opt,0.0,33,b,1,82,78,4
network,opt,0.0,33,b,2,25,23,2
network,opt,0.0,33,b,3,3,3,0
network,opt,0.0,33,b,4,1,1,0
network,opt,0.0,33,b,5,0,0,0
network,opt,0.0,33,b,6,0,0,0
network,opt,0.0,33,b,7,0,0,0
network,opt,0.0,33,b,8,0,0,0
network,opt,0.0,33,b,9,0,0,0
network,opt,0.0,34,b,0,69,69,0
network,opt,0.0,34,b,1,84,80,4
network,opt,0.0,34,b,2,26,25,1
network,opt,0.0,34,b,3,5,4,1
network,opt,0.0,34,b,4,0,0,0
network,opt,0.0,34,b,5,0,0,0
network,opt,0.0,34,b,6,0,0,0
network,opt,0.0,34,b,7,0,0,0
network,opt,0.0,34,b,8,0,0,0
network,opt,0.0,34,b,9,0,0,0
network,opt,0.0,35,b,0,69,69,0
network,opt,0.0,35,b,1,90,88,2
network,opt,0.0,35,b,2,19,18,1
network,opt,0.0,35,b,3,2,1,1
network,opt,0.0,35,b,4,0,0,0
network,opt,0.0,35,b,5,0,0,0
network,opt,0.0,35,b,6,0,0,0
network,opt,0.0,35,b,7,0,0,0
network,opt,0.0,35,b,8,0,0,0
network,opt,0.0,35,b,9,0,0,0
network,opt,0.0,36,b,0,69,69,0
network,opt,0.0,36,b,1,84,81,3
network,opt,0.0,36,b,2,19,17,2
network,opt,0.0,36,b,3,6,6,0
network,opt,0.0,36,b,4,3,3,0
network,opt,0.0,36,b,5,0,0,0
network,opt,0.0,36,b,6,0,0,0
network,opt,0.0,36,b,7,0,0,0
network,opt,0.0,36,b,8,0,0,0
network,opt,0.0,36,b,9,0,0,0
network,opt,0.0,37,b,0,69,69,0
network,opt,0.0,37,b,1,83,79,4
network,opt,0.0,37,b,2,28,26,2
network,opt,0.0,37,b,3,4,4,0
network,opt,0.0,37,b,4,0,0,0
network,opt,0.0,37,b,5,0,0,0
network,opt,0.0,37,b,6,0,0,0
network,opt,0.0,37,b,7,0,0,0
network,opt,0.0,37,b,8,0,0,0
network,opt,0.0,37,b,9,0,0,0
network,opt,0.0,38,b,0,69,69,0
network,opt,0.0,38,b,1,83,83,0
network,opt,0.0,38,b,2,30,26,4
network,opt,0.0,38,b,3,8,7,1
network,opt,0.0,38,b,4,0,0,0
network,opt,0.0,38,b,5,0,0,0
network,opt,0.0,38,b,6,0,0,0
network,opt,0.0,38,b,7,0,0,0
network,opt,0.0,38,b,8,0,0,0
network,opt,0.0,38,b,9,0,0,0
network,opt,0.0,39,b,0,69,69,0
network,opt,0.0,39,b,1,86,85,1
network,opt,0.0,39,b,2,35,31,4
network,opt,0.0,39,b,3,3,3,0
network,opt,0.0,39,b,4,1,1,0
network,opt,0.0,39,b,5,0,0,0
network,opt,0.0,39,b,6,0,0,0
network,opt,0.0,39,b,7,0,0,0
network,opt,0.0,39,b,8,0,0,0
network,opt,0.0,39,b,9,0,0,0
network,opt,0.0,40,b,0,69,69,0
network,opt,0.0,40,b,1,79,76,3
network,opt,0.0,40,b,2,30,29,1
network,opt,0.0,40,b,3,2,2,0
network,opt,0.0,40,b,4,0,0,0
network,opt,0.0,40,b,5,0,0,0
network,opt,0.0,40,b,6,0,0,0
network,opt,0.0,40,b,7,0,0,0
network,opt,0.0,40,b,8,0,0,0
network,opt,0.0,40,b,9,0,0,0
network,opt,0.0,41,b,0,69,69,0
network,opt,0.0,41,b,1,86,84,2
network,opt,0.0,41,b,2,28,27,1
network,opt,0.0,41,b,3,5,4,1
network,opt,0.0,41,b,4,0,0,0
network,opt,0.0,41,b,5,0,0,0
network,opt,0.0,41,b,6,0,0,0
network,opt,0.0,41,b,7,0,0,0
network,opt,0.0,41,b,8,0,0,0
network,opt,0.0,41,b,9,0,0,0
network,opt,0.0,42,b,0,69,69,0
network,opt,0.0,42,b,1,82,81,1
network,opt,0.0,42,b,2,24,21,3
network,opt,0.0,42,b,3,2,2,0
network,opt,0.0,42,b,4,0,0,0
network,opt,0.0,42,b,5,0,0,0
network,opt,0.0,42,b,6,0,0,0
network,opt,0.0,42,b,7,0,0,0
network,opt,0.0,42,b,8,0,0,0
network,opt,0.0,42,b,9,0,0,0
network,opt,0.0,43,b,0,69,69,0
network,opt,0.0,43,b,1,81,78,3
network,opt,0.0,43,b,2,31,30,1
network,opt,0.0,43,b,3,4,3,1
network,opt,0.0,43,b,4,0,0,0
network,opt,0.0,43,b,5,0,0,0
network,opt,0.0,43,b,6,0,0,0
network,opt,0.0,43,b,7,0,0,0
network,opt,0.0,43,b,8,0,0,0
network,opt,0.0,43,b,9,0,0,0
network,opt,0.0,44,b,0,69,69,0
network,opt,0.0,44,b,1,86,84,2
network,opt,0.0,44,b,2,24,22,2
network,opt,0.0,44,b,3,1,1,0
network,opt,0.0,44,b,4,0,0,0
network,opt,0.0,44,b,5,0,0,0
network,opt,0.0,44,b,6,0,0,0
network,opt,0.0,44,b,7,0,0,0
network,opt,0.0,44,b,8,0,0,0
network,opt,0.0,44,b,9,0,0,0
network,opt,0.0,45,b,0,69,69,0
network,opt,0.0,45,b,1,94,90,4
network,opt,0.0,45,b,2,24,24,0
network,opt,0.0,45,b,3,2,2,0
network,opt,0.0,45,b,4,0,0,0
network,opt,0.0,45,b,5,0,0,0
network,opt,0.0,45,b,6,0,0,0
network,opt,0.0,45,b,7,0,0,0
network,opt,0.0,45,b,8,0,0,0
network,opt,0.0,45,b,9,0,0,0
network,opt,0.0,46,b,0,69,69,0
network,opt,0.0,46,b,1,84,82,2
network,opt,0.0,46,b,2,39,35,4
network,opt,0.0,46,b,3,3,2,1
network,opt,0.0,46,b,4,1,1,0
network,opt,0.0,46,b,5,0,0,0
network,opt,0.0,46,b,6,0,0,0
network,opt,0.0,46,b,7,0,0,0
network,opt,0.0,46,b,8,0,0,0
network,opt,0.0,46,b,9,0,0,0
network,opt,0.0,47,b,0,69,69,0
network,opt,0.0,47,b,1,78,76,2
network,opt,0.0,47,b,2,37,34,3
network,opt,0.0,47,b,3,2,2,0
network,opt,0.0,47,b,4,2,2,0
network,opt,0.0,47,b,5,0,0,0
network,opt,0.0,47,b,6,0,0,0
network,opt,0.0,47,b,7,0,0,0
network,opt,0.0,47,b,8,0,0,0
network,opt,0.0,47,b,9,0,0,0
network,opt,0.0,48,b,0,69,69,0
network,opt,0.0,48,b,1,92,90,2
network,opt,0.0,48,b,2,24,20,4
network,opt,0.0,48,b,3,3,3,0
network,opt,0.0,48,b,4,2,2,0
network,opt,0.0,48,b,5,0,0,0
network,opt,0.0,48,b,6,0,0,0
network,opt,0.0,48,b,7,0,0,0
network,opt,0.0,48,b,8,0,0,0
network,opt,0.0,48,b,9,0,0,0
network,opt,0.0,49,b,0,69,69,0
network,opt,0.0,49,b,1,87,84,3
network,opt,0.0,49,b,2,27,24,3
network,opt,0.0,49,b,3,2,2,0
network,opt,0.0,49,b,4,0,0,0
network,opt,0.0,49,b,5,0,0,0
network,opt,0.0,49,b,6,0,0,0
network,opt,0.0,49,b,7,0,0,0
network,opt,0.0,49,b,8,0,0,0
network,opt,0.0,49,b,9,0,0,0
network,opt,0.0,50,b,0,69,69,0
network,opt,0.0,50,b,1,85,82,3
network,opt,0.0,50,b,2,27,26,1
network,opt,0.0,50,b,3,6,5,1
network,opt,0.0,50,b,4,0,0,0
network,opt,0.0,50,b,5,0,0,0
network,opt,0.0,50,b,6,0,0,0
network,opt,0.0,50,b,7,0,0,0
network,opt,0.0,50,b,8,0,0,0
network,opt,0.0,50,b,9,0,0,0
network,opt,0.0,51,b,0,69,69,0
network,opt,0.0,51,b,1,85,83,2
network,opt,0.0,51,b,2,24,23,1
network,opt,0.0,51,b,3,7,7,0
network,opt,0.0,51,b,4,1,1,0
network,opt,0.0,51,b,5,0,0,0
network,opt,0.0,51,b,6,0,0,0
network,opt,0.0,51,b,7,0,0,0
network,opt,0.0,51,b,8,0,0,0
network,opt,0.0,51,b,9,0,0,0
network,opt,0.0,52,b,0,69,69,0
network,opt,0.0,52,b,1,82,79,3
network,opt,0.0,52,b,2,20,20,0
network,opt,0.0,52,b,3,3,2,1
network,opt,0.0,52,b,4,1,1,0
network,opt,0.0,52,b,5,0,0,0
network,opt,0.0,52,b,6,0,0,0
network,opt,0.0,52,b,7,0,0,0
network,opt,0.0,52,b,8,0,0,0
network,opt,0.0,52,b,9,0,0,0
network,opt,0.0,53,b,0,69,69,0
network,opt,0.0,53,b,1,90,86,4
network,opt,0.0,53,b,2,25,22,3
network,opt,0.0,53,b,3,3,3,0
network,opt,0.0,53,b,4,0,0,0
network,opt,0.0,53,b,5,0,0,0
network,opt,0.0,53,b,6,0,0,0
network,opt,0.0,53,b,7,0,0,0
network,opt,0.0,53,b,8,0,0,0
network,opt,0.0,53,b,9,0,0,0
network,opt,0.0,54,b,0,69,69,0
network,opt,0.0,54,b,1,103,99,4
network,opt,0.0,54,b,2,22,22,0
network,opt,0.0,54,b,3,1,0,1
network,opt,0.0,54,b,4,0,0,0
network,opt,0.0,54,b,5,0,0,0
network,opt,0.0,54,b,6,0,0,0
network,opt,0.0,54,b,7,0,0,0
network,opt,0.0,54,b,8,0,0,0
network,opt,0.0,54,b,9,0,0,0
network,opt,0.0,55,b,0,69,69,0
network,opt,0.0,55,b,1,80,75,5
network,opt,0.0,55,b,2,33,32,1
network,opt,0.0,55,b,3,6,6,0
network,opt,0.0,55,b,4,1,1,0
network,opt,0.0,55,b,5,0,0,0
network,opt,0.0,55,b,6,0,0,0
network,opt,0.0,55,b,7,0,0,0
network,opt,0.0,55,b,8,0,0,0
network,opt,0.0,55,b,9,0,0,0
network,opt,0.0,56,b,0,69,69,0
network,opt,0.0,56,b,1,76,76,0
network,opt,0.0,56,b,2,34,29,5
network,opt,0.0,56,b,3,4,4,0
network,opt,0.0,56,b,4,0,0,0
network,opt,0.0,56,b,5,0,0,0
network,opt,0.0,56,b,6,0,0,0
network,opt,0.0,56,b,7,0,0,0
network,opt,0.0,56,b,8,0,0,0
network,opt,0.0,56,b,9,0,0,0
network,opt,0.0,57,b,0,69,69,0
network,opt,0.0,57,b,1,83,82,1
network,opt,0.0,57,b,2,27,25,2
network,opt,0.0,57,b,3,4,3,1
network,opt,0.0,57,b,4,1,1,0
network,opt,0.0,57,b,5,0,0,0
network,opt,0.0,57,b,6,0,0,0
network,opt,0.0,57,b,7,0,0,0
network,opt,0.0,57,b,8,0,0,0
network,opt,0.0,57,b,9,0,0,0
network,opt,0.0,58,b,0,69,69,0
network,opt,0.0,58,b,1,86,82,4
network,opt,0.0,58,b,2,29,27,2
network,opt,0.0,58,b,3,6,6,0
network,opt,0.0,58,b,4,0,0,0
network,opt,0.0,58,b,5,0,0,0
network,opt,0.0,58,b,6,0,0,0
network,opt,0.0,58,b,7,0,0,0
network,opt,0.0,58,b,8,0,0,0
network,opt,0.0,58,b,9,0,0,0
network,opt,0.0,59,b,0,69,69,0
network,opt,0.0,59,b,1,76,75,1
network,opt,0.0,59,b,2,29,28,1
network,opt,0.0,59,b,3,5,4,1
network,opt,0.0,59,b,4,0,0,0
network,opt,0.0,59,b,5,0,0,0
network,opt,0.0,59,b,6,0,0,0
network,opt,0.0,59,b,7,0,0,0
network,opt,0.0,59,b,8,0,0,0
network,opt,0.0,59,b,9,0,0,0
network,opt,0.0,60,b,0,69,69,0
network,opt,0.0,60,b,1,83,80,3
network,opt,0.0,60,b,2,33,31,2
network,opt,0.0,60,b,3,6,4,2
network,opt,0.0,60,b,4,0,0,0
network,opt,0.0,60,b,5,0,0,0
network,opt,0.0,60,b,6,0,0,0
network,opt,0.0,60,b,7,0,0,0
network,opt,0.0,60,b,8,0,0,0
network,opt,0.0,60,b,9,0,0,0
network,opt,0.0,61,b,0,69,69,0
network,opt,0.0,61,b,1,88,87,1
network,opt,0.0,61,b,2,26,23,3
network,opt,0.0,61,b,3,3,3,0
network,opt,0.0,61,b,4,0,0,0
network,opt,0.0,61,b,5,0,0,0
network,opt,0.0,61,b,6,0,0,0
network,opt,0.0,61,b,7,0,0,0
network,opt,0.0,61,b,8,0,0,0
network,opt,0.0,61,b,9,0,0,0
network,opt,0.0,62,b,0,69,69,0
network,opt,0.0,62,b,1,88,84,4
network,opt,0.0,62,b,2,22,21,1
network,opt,0.0,62,b,3,1,1,0
network,opt,0.0,62,b,4,0,0,0
network,opt,0.0,62,b,5,0,0,0
network,opt,0.0,62,b,6,0,0,0
network,opt,0.0,62,b,7,0,0,0
network,opt,0.0,62,b,8,0,0,0
network,opt,0.0,62,b,9,0,0,0
network,opt,0.0,63,b,0,69,69,0
network,opt,0.0,63,b,1,90,86,4
network,opt,0.0,63,b,2,30,27,3
network,opt,0.0,63,b,3,3,3,0
network,opt,0.0,63,b,4,0,0,0
network,opt,0.0,63,b,5,0,0,0
network,opt,0.0,63,b,6,0,0,0
network,opt,0.0,63,b,7,0,0,0
network,opt,0.0,63,b,8,0,0,0
network,opt,0.0,63,b,9,0,0,0
network,opt,0.0,64,b,0,69,69,0
network,opt,0.0,64,b,1,89,87,2
network,opt,0.0,64,b,2,21,20,1
network,opt,0.0,64,b,3,1,1,0
network,opt,0.0,64,b,4,0,0,0
network,opt,0.0,64,b,5,0,0,0
network,opt,0.0,64,b,6,0,0,0
network,opt,0.0,64,b,7,0,0,0
network,opt,0.0,64,b,8,0,0,0
network,opt,0.0,64,b,9,0,0,0
network,opt,0.0,65,b,0,69,69,0
network,opt,0.0,65,b,1,88,85,3
network,opt,0.0,65,b,2,28,24,4
network,opt,0.0,65,b,3,6,6,0
network,opt,0.0,65,b,4,1,1,0
network,opt,0.0,65,b,5,0,0,0
network,opt,0.0,65,b,6,0,0,0
network,opt,0.0,65,b,7,0,0,0
network,opt,0.0,65,b,8,0,0,0
network,opt,0.0,65,b,9,0,0,0
network,opt,0.0,66,b,0,69,69,0
network,opt,0.0,66,b,1,77,71,6
network,opt,0.0,66,b,2,29,27,2
network,opt,0.0,66,b,3,4,4,0
network,opt,0.0,66,b,4,0,0,0
network,opt,0.0,66,b,5,0,0,0
network,opt,0.0,66,b,6,0,0,0
network,opt,0.0,66,b,7,0,0,0
network,opt,0.0,66,b,8,0,0,0
network,opt,0.0,66,b,9,0,0,0
network,opt,0.0,67,b,0,69,69,0
network,opt,0.0,67,b,1,86,84,2
network,opt,0.0,67,b,2,21,20,1
network,opt,0.0,67,b,3,5,5,0
network,opt,0.0,67,b,4,0,0,0
network,opt,0.0,67,b,5,0,0,0
network,opt,0.0,67,b,6,0,0,0
network,opt,0.0,67,b,7,0,0,0
network,opt,0.0,67,b,8,0,0,0
network,opt,0.0,67,b,9,0,0,0
network,opt,0.0,68,b,0,69,69,0
network,opt,0.0,68,b,1,92,89,3
network,opt,0.0,68,b,2,17,17,0
network,opt,0.0,68,b,3,2,2,0
network,opt,0.0,68,b,4,1,1,0
network,opt,0.0,68,b,5,0,0,0
network,opt,0.0,68,b,6,0,0,0
network,opt,0.0,68,b,7,0,0,0
network,opt,0.0,68,b,8,0,0,0
