Exposure,Theta_A,Seed,Article,t,N,B,A
fair,0.7459743804762068,47,a,4,0,0,0
fair,0.7459743804762068,47,a,5,0,0,0
fair,0.7459743804762068,47,a,6,0,0,0
fair,0.7459743804762068,47,a,7,0,0,0
fair,0.7459743804762068,47,a,8,0,0,0
fair,0.7459743804762068,47,a,9,0,0,0
fair,0.7459743804762068,48,a,0,69,0,69
fair,0.7459743804762068,48,a,1,5,0,5
fair,0.7459743804762068,48,a,2,0,0,0
fair,0.7459743804762068,48,a,3,0,0,0
fair,0.7459743804762068,48,a,4,0,0,0
fair,0.7459743804762068,48,a,5,0,0,0
fair,0.7459743804762068,48,a,6,0,0,0
fair,0.7459743804762068,48,a,7,0,0,0
fair,0.7459743804762068,48,a,8,0,0,0
fair,0.7459743804762068,48,a,9,0,0,0
fair,0.7459743804762068,49,a,0,69,0,69
fair,0.7459743804762068,49,a,1,3,1,2
fair,0.7459743804762068,49,a,2,0,0,0
fair,0.7459743804762068,49,a,3,0,0,0
fair,0.7459743804762068,49,a,4,0,0,0
fair,0.7459743804762068,49,a,5,0,0,0
fair,0.7459743804762068,49,a,6,0,0,0
fair,0.7459743804762068,49,a,7,0,0,0
fair,0.7459743804762068,49,a,8,0,0,0
fair,0.7459743804762068,49,a,9,0,0,0
fair,0.7459743804762068,50,a,0,69,0,69
fair,0.7459743804762068,50,a,1,1,0,1
fair,0.7459743804762068,50,a,2,0,0,0
fair,0.7459743804762068,50,a,3,0,0,0
fair,0.7459743804762068,50,a,4,0,0,0
fair,0.7459743804762068,50,a,5,0,0,0
fair,0.7459743804762068,50,a,6,0,0,0
fair,0.7459743804762068,50,a,7,0,0,0
fair,0.7459743804762068,50,a,8,0,0,0
fair,0.7459743804762068,50,a,9,0,0,0
fair,0.7459743804762068,51,a,0,69,0,69
fair,0.7459743804762068,51,a,1,2,2,0
fair,0.7459743804762068,51,a,2,0,0,0
fair,0.7459743804762068,51,a,3,0,0,0
fair,0.7459743804762068,51,a,4,0,0,0
fair,0.7459743804762068,51,a,5,0,0,0
fair,0.7459743804762068,51,a,6,0,0,0
fair,0.7459743804762068,51,a,7,0,0,0
fair,0.7459743804762068,51,a,8,0,0,0
fair,0.7459743804762068,51,a,9,0,0,0
fair,0.7459743804762068,52,a,0,69,0,69
fair,0.7459743804762068,52,a,1,4,0,4
fair,0.7459743804762068,52,a,2,0,0,0
fair,0.7459743804762068,52,a,3,0,0,0
fair,0.7459743804762068,52,a,4,0,0,0
fair,0.7459743804762068,52,a,5,0,0,0
fair,0.7459743804762068,52,a,6,0,0,0
fair,0.7459743804762068,52,a,7,0,0,0
fair,0.7459743804762068,52,a,8,0,0,0
fair,0.7459743804762068,52,a,9,0,0,0
fair,0.7459743804762068,53,a,0,69,0,69
fair,0.7459743804762068,53,a,1,1,0,1
fair,0.7459743804762068,53,a,2,0,0,0
fair,0.7459743804762068,53,a,3,0,0,0
fair,0.7459743804762068,53,a,4,0,0,0
fair,0.7459743804762068,53,a,5,0,0,0
fair,0.7459743804762068,53,a,6,0,0,0
fair,0.7459743804762068,53,a,7,0,0,0
fair,0.7459743804762068,53,a,8,0,0,0
fair,0.7459743804762068,53,a,9,0,0,0
fair,0.7459743804762068,54,a,0,69,0,69
fair,0.7459743804762068,54,a,1,5,0,5
fair,0.7459743804762068,54,a,2,0,0,0
fair,0.7459743804762068,54,a,3,0,0,0
fair,0.7459743804762068,54,a,4,0,0,0
fair,0.7459743804762068,54,a,5,0,0,0
fair,0.7459743804762068,54,a,6,0,0,0
fair,0.7459743804762068,54,a,7,0,0,0
fair,0.7459743804762068,54,a,8,0,0,0
fair,0.7459743804762068,54,a,9,0,0,0
fair,0.7459743804762068,55,a,0,69,0,69
fair,0.7459743804762068,55,a,1,1,0,1
fair,0.7459743804762068,55,a,2,0,0,0
fair,0.7459743804762068,55,a,3,0,0,0
fair,0.7459743804762068,55,a,4,0,0,0
fair,0.7459743804762068,55,a,5,0,0,0
fair,0.7459743804762068,55,a,6,0,0,0
fair,0.7459743804762068,55,a,7,0,0,0
fair,0.7459743804762068,55,a,8,0,0,0
fair,0.7459743804762068,55,a,9,0,0,0
fair,0.7459743804762068,56,a,0,69,0,69
fair,0.7459743804762068,56,a,1,4,0,4
fair,0.7459743804762068,56,a,2,0,0,0
fair,0.7459743804762068,56,a,3,0,0,0
fair,0.7459743804762068,56,a,4,0,0,0
fair,0.7459743804762068,56,a,5,0,0,0
fair,0.7459743804762068,56,a,6,0,0,0
fair,0.7459743804762068,56,a,7,0,0,0
fair,0.7459743804762068,56,a,8,0,0,0
fair,0.7459743804762068,56,a,9,0,0,0
fair,0.7459743804762068,57,a,0,69,0,69
fair,0.7459743804762068,57,a,1,1,0,1
fair,0.7459743804762068,57,a,2,0,0,0
fair,0.7459743804762068,57,a,3,0,0,0
fair,0.7459743804762068,57,a,4,0,0,0
fair,0.7459743804762068,57,a,5,0,0,0
fair,0.7459743804762068,57,a,6,0,0,0
fair,0.7459743804762068,57,a,7,0,0,0
fair,0.7459743804762068,57,a,8,0,0,0
fair,0.7459743804762068,57,a,9,0,0,0
